"employee_key";"employee_id";"age";"gender";"department";"job_role";"job_level";"monthly_income";"attrition"
1;100001;41;"f";"Sales";"Sales Executive";2;5993.0;"Yes"
2;100002;49;"Male";"Research & Development";"Research Scientist";2;5130.0;"No"
3;100003;37;"M";"Research & Development";"Laboratory Technician";1;2090.0;"Yes"
4;100004;33;"f";"Research & Development";"Research Scientist";1;2909.0;"No"
5;100005;27;"Male";"Research & Development";"Laboratory Technician";1;3468.0;"No"
6;100006;32;"Male";"Research & Development";"Laboratory Technician";1;3068.0;"No"
7;100007;59;"f";"Research & Development";"Laboratory Technician";1;2670.0;"No"
8;100008;30;"male";"Research & Development";"Laboratory Technician";1;2693.0;"No"
9;100009;38;"M";"Research & Development";"Manufacturing Director";3;9526.0;"No"
10;100010;36;"M";"Research & Development";"Healthcare Representative";2;5237.0;"No"
11;100011;35;"M";"Research & Development";"Laboratory Technician";1;2426.0;"No"
12;100012;29;"f";"Research & Development";"Laboratory Technician";2;4193.0;"No"
13;100013;31;"Male";"Research & Development";"Research Scientist";1;2911.0;"No"
14;100014;34;"M";"Research & Development";"Laboratory Technician";1;2661.0;"No"
15;100015;28;"male";"Research & Development";"Laboratory Technician";1;2028.0;"Yes"
16;100016;29;"Female";"Research & Development";"Manufacturing Director";3;9980.0;"No"
17;100017;32;"male";"Research & Development";"Research Scientist";1;3298.0;"No"
18;100018;22;"male";"Research & Development";"Laboratory Technician";1;2935.0;"No"
19;100019;53;"FEMALE";"Sales";"Manager";4;15427.0;"No"
20;100020;38;"male";"Research & Development";"Research Scientist";1;3944.0;"No"
21;100021;24;"Female";"Research & Development";"Manufacturing Director";2;4011.0;"No"
22;100022;36;"Male";"Sales";"Sales Representative";1;3407.0;"Yes"
23;100023;34;"FEMALE";"Research & Development";"Research Director";3;11994.0;"No"
24;100024;21;"male";"Research & Development";"Research Scientist";1;1232.0;"No"
25;100025;34;"Male";"Research & Development";"Research Scientist";1;2960.0;"Yes"
26;100026;53;"Female";"Research & Development";"Manager";5;19094.0;"No"
27;100027;32;"Female";"Research & Development";"Research Scientist";1;3919.0;"Yes"
28;100028;42;"M";"Sales";"Sales Executive";2;6825.0;"No"
29;100029;44;"f";"Research & Development";"Healthcare Representative";3;10248.0;"No"
30;100030;46;"f";"Sales";"Manager";5;18947.0;"No"
31;100031;33;"male";"Research & Development";"Laboratory Technician";1;2496.0;"No"
32;100032;44;"M";"Research & Development";"Healthcare Representative";2;6465.0;"No"
33;100033;30;"male";"Research & Development";"Laboratory Technician";1;2206.0;"No"
34;100034;39;"male";"Sales";"Sales Representative";2;2086.0;"Yes"
35;100035;24;"M";"Research & Development";"Research Scientist";1;2293.0;"Yes"
36;100036;43;"FEMALE";"Research & Development";"Research Scientist";1;2645.0;"No"
37;100037;50;"M";"Sales";"Sales Representative";1;2683.0;"Yes"
38;100039;36;"Female";"Research & Development";"Research Scientist";1;3419.0;"No"
39;100040;33;"f";"Sales";"Sales Executive";2;5376.0;"No"
40;100041;35;"Male";"Research & Development";"Laboratory Technician";1;1951.0;"No"
41;100042;27;"f";"Research & Development";"Laboratory Technician";1;2341.0;"No"
42;100043;26;"M";"Research & Development";"Laboratory Technician";1;2293.0;"Yes"
43;100044;27;"Male";"Sales";"Sales Executive";3;8726.0;"No"
44;100045;30;"Female";"Research & Development";"Laboratory Technician";2;4011.0;"No"
45;100046;41;"f";"Research & Development";"Research Director";5;19545.0;"Yes"
46;100047;34;"male";"Sales";"Sales Executive";2;4568.0;"No"
47;100048;37;"Male";"Research & Development";"Research Scientist";1;3022.0;"No"
48;100049;46;"male";"Sales";"Sales Executive";2;5772.0;"No"
49;100050;35;"male";"Research & Development";"Laboratory Technician";1;2269.0;"No"
50;100051;48;"male";"Research & Development";"Laboratory Technician";3;5381.0;"Yes"
51;100052;28;"Male";"Research & Development";"Laboratory Technician";1;3441.0;"Yes"
52;100053;44;"FEMALE";"Sales";"Sales Executive";2;5454.0;"No"
53;100054;35;"Male";"Research & Development";"Healthcare Representative";3;9884.0;"No"
54;100055;26;"FEMALE";"Sales";"Sales Executive";2;4157.0;"No"
55;100057;35;"M";"Sales";"Sales Executive";3;9069.0;"No"
56;100059;31;"M";"Research & Development";"Laboratory Technician";2;5915.0;"No"
57;100060;37;"M";"Research & Development";"Manufacturing Director";2;5993.0;"No"
58;100061;32;"male";"Research & Development";"Manufacturing Director";2;6162.0;"No"
59;100062;38;"Female";"Research & Development";"Laboratory Technician";2;2406.0;"No"
60;100063;50;"FEMALE";"Research & Development";"Research Director";5;18740.0;"No"
61;100064;59;"FEMALE";"Sales";"Sales Executive";3;7637.0;"No"
62;100065;36;"FEMALE";"Research & Development";"Healthcare Representative";3;10096.0;"No"
63;100066;55;"FEMALE";"Research & Development";"Manager";4;14756.0;"No"
64;100067;36;"male";"Research & Development";"Manufacturing Director";2;6499.0;"No"
65;100068;45;"male";"Research & Development";"Research Scientist";3;9724.0;"No"
66;100069;35;"male";"Research & Development";"Research Scientist";1;2194.0;"No"
67;100070;36;"Male";"Research & Development";"Research Scientist";1;3388.0;"Yes"
68;100071;59;"f";"Sales";"Sales Executive";2;5473.0;"No"
69;100072;29;"male";"Research & Development";"Research Scientist";1;2703.0;"No"
70;100073;31;"male";"Research & Development";"Research Scientist";1;2501.0;"No"
71;100074;32;"male";"Research & Development";"Research Scientist";2;6220.0;"No"
72;100075;36;"FEMALE";"Research & Development";"Laboratory Technician";1;3038.0;"No"
