"employee_key";"date_key";"ending_balance";"investment_risk_profile"
1;1;10144.0;"Medium"
1;2;11852.0;"Low"
1;3;11772.0;"High"
1;4;12135.0;"Low"
1;5;12385.0;"Low"
1;6;11988.0;"Medium"
1;7;13729.0;"Medium"
1;8;15627.0;"Low"
1;9;15893.0;"Low"
1;10;15720.0;"Low"
1;11;16367.0;"High"
1;12;16940.0;"Low"
1;13;17267.0;"Low"
1;14;18565.0;"Medium"
1;15;18787.0;"High"
1;16;19095.0;"Medium"
1;17;20739.0;"Low"
1;18;20476.0;"Medium"
1;19;21414.0;"Low"
1;20;21577.0;"High"
1;21;23157.0;"Medium"
1;22;24441.0;"High"
1;23;26326.0;"High"
1;24;27571.0;"Medium"
1;25;27953.0;"Medium"
1;26;29596.0;"Medium"
1;27;30718.0;"Low"
1;28;32079.0;"High"
1;29;32735.0;"High"
1;30;32624.0;"High"
1;31;33443.0;"Low"
1;32;35138.0;"Medium"
1;33;36578.0;"High"
1;34;36649.0;"Low"
1;35;38014.0;""
1;36;39836.0;"High"
1;37;41668.0;"Low"
1;38;42243.0;"Low"
1;39;43344.0;"Medium"
1;40;44111.0;"High"
1;41;45592.0;"Medium"
1;42;45601.0;"Low"
1;43;47293.0;"Low"
1;44;46821.0;"Medium"
1;45;47849.0;"Medium"
1;46;47465.0;"Medium"
1;47;48654.0;"Medium"
1;48;49124.0;"Low"
1;49;50722.0;"Medium"
1;50;52574.0;"High"
1;51;53092.0;"Medium"
1;52;53831.0;"High"
1;53;53336.0;"Medium"
1;54;52925.0;"Medium"
1;55;52827.0;"Low"
1;56;52617.0;"Low"
1;57;53077.0;"Low"
1;58;53731.0;"High"
1;59;55376.0;"Medium"
1;60;56304.0;"High"
2;1;7134.0;""
2;2;7646.0;"High"
2;3;7767.0;"Medium"
2;4;8556.0;"High"
2;5;8494.0;"Low"
2;6;10061.0;"High"
2;7;11845.0;"Medium"
2;8;12852.0;""
2;9;14221.0;"Low"
2;10;15908.0;"Low"
2;11;15696.0;"Medium"
2;12;15901.0;"Low"
2;13;16285.0;"Medium"
2;14;17727.0;"Low"
2;15;18251.0;"Medium"
2;16;19458.0;"Low"
2;17;21333.0;"High"
2;18;23175.0;"High"
2;19;23953.0;"Low"
2;20;25405.0;"Low"
2;21;25387.0;""
2;22;24957.0;"Low"
2;23;26547.0;""
2;24;27340.0;"Medium"
2;25;28749.0;"Low"
2;26;30675.0;"Low"
2;27;30344.0;"Low"
2;28;30666.0;"Medium"
2;29;32651.0;"High"
2;30;32456.0;"Low"
2;31;34101.0;"High"
2;32;34207.0;"Low"
2;33;34489.0;"Low"
2;34;34328.0;"Low"
2;35;36083.0;"High"
2;36;35810.0;"Medium"
2;37;36398.0;"Medium"
2;38;37065.0;"Medium"
2;39;37335.0;"High"
2;40;38816.0;"Low"
2;41;38338.0;"Low"
2;42;40233.0;"Low"
2;43;41818.0;"Medium"
2;44;43786.0;"Medium"
2;45;44867.0;"Low"
2;46;46618.0;"High"
2;47;48089.0;"High"
2;48;48496.0;"Low"
2;49;49473.0;"Medium"
2;50;50233.0;"Low"
2;51;52109.0;"Medium"
2;52;53318.0;"Medium"
2;53;53625.0;"Medium"
2;54;53717.0;"Medium"
2;55;55707.0;"Low"
2;56;55285.0;"Medium"
2;57;54830.0;"Low"
2;58;55594.0;"Medium"
2;59;57233.0;"Low"
2;60;57782.0;"High"
3;1;4880.0;"High"
3;2;5429.0;"Medium"
3;3;5768.0;"High"
3;4;6087.0;"Medium"
3;5;7215.0;""
3;6;7688.0;"Medium"
3;7;9179.0;"Low"
3;8;10068.0;"Low"
3;9;11265.0;""
3;10;11951.0;"Low"
3;11;11894.0;"High"
3;12;12119.0;"Low"
3;13;12562.0;"Medium"
3;14;13203.0;"High"
3;15;13634.0;"Low"
3;16;13868.0;"Low"
3;17;15290.0;"Low"
3;18;15320.0;"Medium"
3;19;16774.0;"High"
3;20;16591.0;"Low"
3;21;16273.0;"Low"
3;22;17059.0;"High"
3;23;17194.0;"Low"
3;24;17735.0;"Low"
3;25;18653.0;"Medium"
3;26;19078.0;"Medium"
3;27;21028.0;"Low"
3;28;22580.0;"High"
3;29;23004.0;"Medium"
3;30;23775.0;"High"
3;31;24669.0;"Medium"
3;32;25697.0;"Medium"
3;33;26568.0;"High"
3;34;27558.0;"Medium"
3;35;28526.0;"High"
3;36;29536.0;"High"
3;37;29102.0;"Medium"
3;38;30572.0;"Medium"
3;39;32350.0;"Low"
3;40;33333.0;"Low"
3;41;34155.0;"Low"
3;42;35645.0;"Medium"
3;43;36454.0;"High"
3;44;36803.0;"Medium"
3;45;38220.0;""
3;46;39721.0;"High"
3;47;40855.0;"Medium"
3;48;41369.0;"High"
3;49;41640.0;"High"
3;50;41421.0;"Medium"
3;51;41525.0;"Low"
3;52;43439.0;"Low"
3;53;44949.0;"High"
3;54;45776.0;"Low"
3;55;45574.0;"Medium"
3;56;45395.0;"Low"
3;57;46764.0;"High"
3;58;46814.0;"Low"
3;59;46588.0;"Medium"
3;60;46739.0;"Medium"
4;1;10811.0;"Medium"
4;2;12125.0;"Low"
4;3;12248.0;"High"
4;4;13322.0;"Medium"
4;5;12828.0;"Low"
4;6;12758.0;"Low"
4;7;13411.0;"Medium"
4;8;13837.0;"High"
4;9;15441.0;"Medium"
4;10;17132.0;"Medium"
4;11;18034.0;"Medium"
4;12;17679.0;"Medium"
4;13;17439.0;"High"
4;14;17703.0;"Medium"
4;15;18855.0;"Medium"
4;16;19437.0;"Medium"
4;17;20667.0;"Medium"
4;18;21017.0;"High"
4;19;21374.0;"Low"
4;20;22502.0;"Low"
4;21;23210.0;"Low"
4;22;22931.0;""
4;23;22643.0;"Low"
4;24;24205.0;""
4;25;25511.0;"Low"
4;26;27103.0;"Low"
4;27;26736.0;"Medium"
4;28;26426.0;"Low"
4;29;26668.0;"High"
4;30;28385.0;"Medium"
4;31;30252.0;"High"
4;32;31017.0;"Medium"
4;33;31580.0;"High"
4;34;32405.0;"High"
4;35;32677.0;"Medium"
4;36;33976.0;"Low"
4;37;33776.0;"Medium"
4;38;34838.0;""
4;39;34629.0;"Low"
4;40;36348.0;"Low"
4;41;36917.0;"Low"
4;42;37915.0;"Low"
4;43;37446.0;"Low"
4;44;39062.0;"Medium"
4;45;40410.0;"Low"
4;46;40133.0;"Medium"
4;47;40076.0;"Low"
4;48;41379.0;"High"
4;49;41461.0;"High"
4;50;42574.0;"Medium"
4;51;42182.0;"Low"
4;52;43160.0;"High"
4;53;44198.0;"Low"
4;54;45902.0;"Low"
4;55;47041.0;"Medium"
4;56;47659.0;"High"
4;57;49585.0;"High"
4;58;50679.0;"Medium"
4;59;51892.0;"Low"
4;60;53578.0;"High"
5;1;3920.0;"High"
5;2;5343.0;"Medium"
5;3;4865.0;"High"
5;4;6563.0;"Medium"
5;5;6174.0;"Medium"
5;6;6474.0;""
5;7;7180.0;"Low"
5;8;9115.0;""
5;9;8936.0;"High"
5;10;10029.0;"Medium"
5;11;11032.0;"Low"
5;12;11600.0;"High"
5;13;11130.0;"Medium"
5;14;11288.0;"High"
5;15;12041.0;"Low"
5;16;11673.0;"Medium"
5;17;13399.0;"Medium"
5;18;13363.0;"Medium"
5;19;14524.0;"Medium"
