"employee_key";"date_key";"employee_contrib_rate";"employee_contrib_amount";"employer_match_amount";"plan_enrolled_flag"
1;1;9.879;592.06;179.79;"Yes"
1;2;9.879;592.06;179.79;"Yes"
1;3;9.879;592.06;179.79;"Yes"
1;4;9.879;592.06;179.79;"Yes"
1;5;9.879;592.06;179.79;"Yes"
1;6;9.879;592.06;179.79;"Yes"
1;7;9.879;592.06;179.79;"Yes"
1;8;9.879;592.06;179.79;"Yes"
1;9;9.879;592.06;179.79;"Yes"
1;10;9.879;-592.06;179.79;"Yes"
1;11;9.879;592.06;179.79;"Yes"
1;12;9.879;592.06;179.79;"Yes"
1;13;9.879;592.06;179.79;"Yes"
2;1;8.575;439.89;153.9;"Yes"
2;2;8.575;439.89;153.9;"Yes"
2;3;8.575;439.89;153.9;"Yes"
2;4;8.575;439.89;153.9;"No"
2;5;8.575;439.89;153.9;"Yes"
2;6;8.575;439.89;153.9;"Yes"
2;7;8.575;439.89;153.9;"Yes"
2;8;8.575;-439.89;153.9;"Yes"
2;9;8.575;439.89;153.9;"No"
2;10;8.575;439.89;153.9;"Yes"
2;11;8.575;439.89;153.9;"Yes"
2;12;8.575;439.89;153.9;"Yes"
2;13;8.575;439.89;153.9;"Yes"
2;14;8.575;439.89;153.9;"Yes"
2;15;8.575;439.89;153.9;"Yes"
2;16;8.575;439.89;153.9;"Yes"
2;17;8.575;439.89;153.9;"Yes"
2;18;8.575;439.89;153.9;"Yes"
2;19;8.575;439.89;153.9;"Yes"
2;20;8.575;439.89;153.9;"Yes"
2;21;8.575;439.89;153.9;"Yes"
2;22;8.575;439.89;153.9;"Yes"
2;23;8.575;439.89;153.9;"Yes"
2;24;8.575;439.89;153.9;"Yes"
2;25;8.575;439.89;153.9;"Yes"
2;26;8.575;439.89;153.9;"Yes"
2;27;8.575;439.89;153.9;"Yes"
2;28;8.575;439.89;153.9;"Yes"
2;29;8.575;439.89;153.9;"No"
2;30;8.575;439.89;153.9;"Yes"
2;31;8.575;439.89;153.9;"Yes"
2;32;8.575;439.89;153.9;"No"
2;33;8.575;439.89;153.9;"Yes"
2;34;8.575;439.89;153.9;"Yes"
2;35;8.575;439.89;153.9;"Yes"
2;36;8.575;439.89;153.9;"Yes"
2;37;8.575;439.89;153.9;"Yes"
2;38;8.575;439.89;153.9;"Yes"
2;39;8.575;439.89;153.9;"Yes"
2;40;8.575;439.89;153.9;"Yes"
2;41;8.575;439.89;153.9;"Yes"
2;42;8.575;439.89;153.9;"Yes"
2;43;8.575;439.89;153.9;"Yes"
2;44;8.575;439.89;153.9;"No"
2;45;8.575;439.89;153.9;"Yes"
2;46;8.575;439.89;153.9;"Yes"
2;47;8.575;439.89;153.9;"Yes"
2;48;8.575;439.89;153.9;"No"
2;49;8.575;439.89;153.9;"Yes"
2;50;8.575;439.89;153.9;"Yes"
2;51;8.575;439.89;153.9;"Yes"
2;52;8.575;439.89;153.9;"Yes"
2;53;8.575;439.89;153.9;"Yes"
2;54;8.575;439.89;153.9;"Yes"
2;55;8.575;439.89;153.9;"Yes"
2;56;8.575;439.89;153.9;"No"
2;57;8.575;439.89;153.9;"Yes"
2;58;8.575;439.89;153.9;"Yes"
2;59;8.575;439.89;153.9;"No"
2;60;8.575;439.89;153.9;"Yes"
3;1;3.501;73.16;62.7;"Yes"
3;2;3.501;73.16;62.7;"Yes"
3;3;3.501;-73.16;62.7;"Yes"
3;4;3.501;73.16;62.7;"Yes"
3;5;3.501;73.16;62.7;"Yes"
3;6;3.501;73.16;62.7;"Yes"
3;7;3.501;73.16;62.7;"Yes"
3;8;3.501;73.16;62.7;"No"
3;9;3.501;73.16;62.7;"Yes"
3;10;3.501;73.16;62.7;"Yes"
3;11;3.501;73.16;62.7;"Yes"
3;12;3.501;73.16;62.7;"Yes"
3;13;3.501;73.16;62.7;"Yes"
3;14;3.501;73.16;62.7;"Yes"
3;15;3.501;73.16;62.7;"No"
3;16;3.501;73.16;62.7;"Yes"
3;17;3.501;73.16;62.7;"Yes"
3;18;3.501;73.16;62.7;"Yes"
3;19;3.501;73.16;62.7;"No"
3;20;3.501;-73.16;62.7;"Yes"
3;21;3.501;73.16;62.7;"Yes"
3;22;3.501;73.16;62.7;"Yes"
3;23;3.501;73.16;62.7;"No"
3;24;3.501;-73.16;62.7;"Yes"
3;25;3.501;73.16;62.7;"Yes"
3;26;3.501;73.16;62.7;"Yes"
3;27;3.501;73.16;62.7;"Yes"
3;28;3.501;73.16;62.7;"Yes"
3;29;3.501;-73.16;62.7;"Yes"
3;30;3.501;73.16;62.7;"Yes"
3;31;3.501;73.16;62.7;"Yes"
3;32;3.501;73.16;62.7;"Yes"
3;33;3.501;73.16;62.7;"No"
3;34;3.501;73.16;62.7;"Yes"
3;35;3.501;73.16;62.7;"Yes"
3;36;3.501;73.16;62.7;"Yes"
3;37;3.501;73.16;62.7;"Yes"
3;38;3.501;73.16;62.7;"Yes"
3;39;3.501;73.16;62.7;"Yes"
3;40;3.501;73.16;62.7;"Yes"
3;41;3.501;73.16;62.7;"Yes"
3;42;3.501;73.16;62.7;"No"
3;43;3.501;73.16;62.7;"Yes"
3;44;3.501;73.16;62.7;"Yes"
3;45;3.501;73.16;62.7;"Yes"
3;46;3.501;73.16;62.7;"Yes"
3;47;3.501;73.16;62.7;"Yes"
3;48;3.501;73.16;62.7;"Yes"
3;49;3.501;73.16;62.7;"Yes"
3;50;3.501;73.16;62.7;"Yes"
3;51;3.501;73.16;62.7;"Yes"
3;52;3.501;-73.16;62.7;"Yes"
3;53;3.501;73.16;62.7;"Yes"
3;54;3.501;-73.16;62.7;"No"
3;55;3.501;73.16;62.7;"Yes"
3;56;3.501;73.16;62.7;"Yes"
3;57;3.501;73.16;62.7;"Yes"
3;58;3.501;73.16;62.7;"Yes"
3;59;3.501;-73.16;62.7;"Yes"
4;1;3.613;105.1;87.27;"Yes"
4;2;3.613;105.1;87.27;"No"
4;3;3.613;105.1;87.27;"Yes"
4;4;3.613;105.1;87.27;"Yes"
4;5;3.613;105.1;87.27;"Yes"
4;6;3.613;105.1;87.27;"Yes"
4;7;3.613;105.1;87.27;"Yes"
4;8;3.613;105.1;87.27;"Yes"
4;9;3.613;105.1;87.27;"No"
4;10;3.613;105.1;87.27;"Yes"
4;11;3.613;105.1;87.27;"Yes"
4;12;3.613;105.1;87.27;"No"
4;13;3.613;105.1;87.27;"Yes"
4;14;3.613;105.1;87.27;"Yes"
4;15;3.613;105.1;87.27;"Yes"
4;16;3.613;105.1;87.27;"Yes"
